sortTime,departureTime_timeAMPM,departureTime_time24,arrivalTime_timeAMPM,arrivalTime_time24,carrier_fs,carrier_name,carrier_flightNumber,operatedBy,url,airport_fs,airport_city,isCodeshare
2024-03-28T07:30:00.000Z,1:25PM,13:25,2:30PM,14:30,IN*,Nam Air,57,,/flight-tracker/IN*/57?year=2024&amp;month=3&amp;date=28&amp;flightId=1243031566,TJQ,Tanjung Pandan,
2024-03-28T07:35:00.000Z,1:50PM,13:50,2:35PM,14:35,TNU,TransNusa,5107,,/flight-tracker/TNU/5107?year=2024&amp;month=3&amp;date=28&amp;flightId=1242987264,DPS,Denpasar,
2024-03-28T07:35:00.000Z,12:55PM,12:55,2:35PM,14:35,JT*,Lion Air,867,,/flight-tracker/JT*/867?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034905,PKY,Palangkaraya,
2024-03-28T07:35:00.000Z,1:45PM,13:45,2:35PM,14:35,GA,Garuda Indonesia,75,,/flight-tracker/GA/75?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026516,TKG,Bandar Lampung,
2024-03-28T07:35:00.000Z,1:45PM,13:45,2:35PM,14:35,MH,Malaysia Airlines,5899,Operated by Garuda Indonesia 75,/flight-tracker/MH/5899?year=2024&amp;month=3&amp;date=28&amp;flightId=1243026516,TKG,Bandar Lampung,TRUE
2024-03-28T07:40:00.000Z,1:25PM,13:25,2:40PM,14:40,CTV,Citilink,973,,/flight-tracker/CTV/973?year=2024&amp;month=3&amp;date=28&amp;flightId=1243053763,PGK,Pangkal Pinang,
2024-03-28T07:45:00.000Z,1:25PM,13:25,2:45PM,14:45,JT*,Lion Air,985,,/flight-tracker/JT*/985?year=2024&amp;month=3&amp;date=28&amp;flightId=1243034970,UPG,Ujung Pandang,
2024-03-28T07:45:00.000Z,1:35PM,13:35,2:45PM,14:45,AK,AirAsia,384,,/flight-tracker/AK/384?year=2024&amp;month=3&amp;date=28&amp;flightId=1242999146,KUL,Kuala Lumpur,
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,MH,Malaysia Airlines,721,,/flight-tracker/MH/721?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,
2024-03-28T07:45:00.000Z,1:40PM,13:40,2:45PM,14:45,FY,Firefly,7387,Operated by Malaysia Airlines 721,/flight-tracker/FY/7387?year=2024&amp;month=3&amp;date=28&amp;flightId=1243042800,KUL,Kuala Lumpur,TRUE
